SampleNo,Crop_Name,Fertiliser_Combination_1,Fertiliser_Combination_2
PB/2017-18/95450997/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95450997/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 500 | Potassium Chloride (Muriate of Potash): 67,Diammonium Phosphate (18-46-0): 174 | Neem Coated Urea  : 293 | Potassium Chloride (Muriate of Potash): 67
PB/2017-18/95450997/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 33,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 255 | Potassium Chloride (Muriate of Potash): 33
PB/2017-18/95450997/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95450997/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 67,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 401 | Potassium Chloride (Muriate of Potash): 67
PB/2017-18/95451053/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451053/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451053/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 500 | Potassium Chloride (Muriate of Potash): 67,Diammonium Phosphate (18-46-0): 174 | Neem Coated Urea  : 293 | Potassium Chloride (Muriate of Potash): 67
PB/2017-18/95451053/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 33,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 255 | Potassium Chloride (Muriate of Potash): 33
PB/2017-18/95451053/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451053/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 67,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 401 | Potassium Chloride (Muriate of Potash): 67
PB/2017-18/95451117/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451117/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451117/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 500 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 174 | Neem Coated Urea  : 293 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451117/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 255 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95451117/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451117/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 401 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451179/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451179/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451179/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 500 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 174 | Neem Coated Urea  : 293 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451179/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 255 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95451179/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451179/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 401 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451236/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451236/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
